name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,1.547486509653611,0.7
2_DecisionTree,Decision Tree,logloss,0.986042046443952,12.34
3_Default_Xgboost,Xgboost,logloss,0.794837261513877,13.5
4_Default_NeuralNetwork,Neural Network,logloss,0.9129784740715307,3.68
5_Default_RandomForest,Random Forest,logloss,0.9266100999057747,9.73
Ensemble,Ensemble,logloss,0.7926060354220618,0.25
