name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,23541.26890769529,1.08
2_DecisionTree,Decision Tree,rmse,10272.12241204995,3.11
3_Default_Xgboost,Xgboost,rmse,7090.031593882312,40.56
4_Default_NeuralNetwork,Neural Network,rmse,9920.620876187666,3.11
5_Default_RandomForest,Random Forest,rmse,10972.440084538006,4.87
Ensemble,Ensemble,rmse,6451.441486687218,0.12
